,name,marka,model,parts_number,oll_number,image_url,price,group
65,Насос основной,Hyundai,r330lc-9,31q9-10030,120,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,360000,насос/гидравлический/основной
66,Насос основной,Hyundai,r380lc-9,31qc-10010,126,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,360000,насос/гидравлический/основной
67,Насос основной,Hyundai,r380lc-9,31qa-10021,126,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,360000,насос/гидравлический/основной
68,Насос основной,Hyundai,r450lc-7,31qb-10030,125,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,360000,насос/гидравлический/основной
69,Насос основной,Hyundai,r450lc-9,31qb-10011,121,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,360000,насос/гидравлический/основной
70,Насос основной,Doosan,solar 225nlcv,400914-00219c,123,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,220000,насос/гидравлический/основной
71,Насос основной,Doosan,solar 225nlcv,401-00059,123,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,220000,насос/гидравлический/основной
72,Насос основной,Doosan,solar 255lcv,400914-00220с,124,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,220000,насос/гидравлический/основной
73,Насос основной,Doosan,solar 255lcv,401-00347,124,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,220000,насос/гидравлический/основной
74,Редуктор поворота,Doosan,dx225,404-00097c,407,https://1reduktor.ru/wp-content/cache/thumb/fb/ce065b3af2764fb_250x310.jpg,190000,редуктор/поворота/без мотора
75,Редуктор поворота,Doosan,dx225,k1038203,407,https://1reduktor.ru/wp-content/cache/thumb/fb/ce065b3af2764fb_250x310.jpg,190000,редуктор/поворота/без мотора
76,Редуктор поворота,Volvo,ec140,14540907,412,https://1reduktor.ru/wp-content/cache/thumb/fb/ce065b3af2764fb_250x310.jpg,190000,редуктор/поворота/без мотора
77,Редуктор поворота,Volvo,ec140,14507899,412,https://1reduktor.ru/wp-content/cache/thumb/fb/ce065b3af2764fb_250x310.jpg,190000,редуктор/поворота/без мотора
78,Редуктор поворота,Volvo,ec210,7118-30100,411,https://1reduktor.ru/wp-content/cache/thumb/fb/ce065b3af2764fb_250x310.jpg,190000,редуктор/поворота/без мотора
79,Редуктор поворота,Volvo,ec210,14541068,411,https://1reduktor.ru/wp-content/cache/thumb/fb/ce065b3af2764fb_250x310.jpg,190000,редуктор/поворота/без мотора
80,Редуктор поворота,Volvo,ec240,14577126,420,https://1reduktor.ru/wp-content/cache/thumb/fb/ce065b3af2764fb_250x310.jpg,190000,редуктор/поворота/без мотора
